year,gdp
1960,7370436294200.0
1961,7644818661000.0
1962,7868898061100.0
1963,8340587608700.0
1964,8962207443100.0
1965,8725984258100.0
1966,8721156278300.0
1967,9403670744500.0
1968,9722260449300.0
1969,10358067145000.0
1970,10892256464000.0
1971,11071208654000.0
1972,11009951512000.0
1973,11372786791000.0
1974,11507592556000.0
1975,12560527150000.0
1976,12769421734000.0
1977,13695813220000.0
1978,14478190945000.0
1979,13719796851000.0
1980,14643937881000.0
1981,15523482609000.0
1982,16063037454000.0
1983,17233855051000.0
1984,17892315475000.0
1985,18832431268000.0
1986,19731974432000.0
1987,20514417392000.0
1988,22489500965000.0
1989,23827028801000.0
1990,25145486613000.0
1991,25411232020000.0
1992,26804376393000.0
1993,28077792332000.0
1994,29947471204000.0
1995,32215839966000.0
1996,34647981972000.0
1997,36051163170000.0
1998,38280717009000.0
1999,41666935662000.0
2000,43267358976000.0
2001,45354561777000.0
2002,47079838114000.0
2003,50780492988000.0
2004,54803799258700.0
2005,59146140270900.0
2006,63913752464600.0
2007,68810066843300.0
2008,70934025841100.0
2009,76510780097400.0
2010,83012348442500.0
2011,87363288108900.0
2012,92130167686000.0
2013,98013698221800.0
2014,105276736344200.0
2015,113694931359600.0
2016,123081932232700.0
2017,131445821447400.0
2018,139929139362800.0
2019,145346407754900.0
2020,136948692443500.0
2021,150218462664300.0
2022,161649133752300.0
2023,176505909482400.0
2024,187969554439000.0
